question,context
Who introduced the Iqta system?,"Shamsa ud-din Iltutmish of the Delhi Sultanate is credited with introducing the Iqta system in India. The concept was based on Muhammad Ghori’s ideas.Close to the original practice of Iqta that prevailed in Persia and the Middle-East, the main function of the system was to collect agriculture tax by Muqtis/Iqtedars in India. They had no other right to the subjects apart from the taxes as long as taxes were paid."
Who abolished the Iqta system?,The Iqta system was abolished by Alauddin Khilji in order to bring the small fiefs under central authority. It is widely regarded as an important agrarian reform under the Delhi Sultanate.
What is Iqta in Delhi Sultanate?,"The Iqta system was a unique type of land distribution and administrative system introduced during the reign of Iltutmish. In the Iqta system the lands of the Delhi Sultanate were divided into several large and small tracts called Iqta and assigned these Iqtas to the Sultan’s soldiers, officers and nobles."
Who is called lakh Baksh?,Lakh Baksh is usually referred to those who give away property and wealth to the needy and poor. The most famous of these was Sultan Qutub-ud-din Aibak of the Delhi Sultanate. He was famous for giving away a lot of his wealth to the poor and needy.
What is the Dagh system?,The Dagh was a system of branding horses specifically for wars. These horses would undergo special training to be elite horses. The system was introduced under Alauddin Khilji.
Which Sultan had the largest standing army?,Sultan Alauddin Khilji is known to have the largest standing army as a result of his military reforms.
What was Iqta Holder called?,An Iqta holder is called an Iqtadar. Iqta was a form of tax farming prevalent in the Middle-East and Asia during the middle ages.
Who introduced Tanka and Jital?,"The Tanka and Jital were introduced by the Delhi Sultan Iltutmish. Becoming the basis for the subsequent coinage of the sultanate, the Tanka was a silver coin while the Jital was made of copper. "
What is Iqta and Jagirdari?,Iqta refers to the land grant while Jagirdari was a type of feudal land grant in the Indian subcontinent at the foundation of its Jagirdar (Zamindar) system.
What was the responsibility of Mir Bakshi?,Mir Bakshi was the head of the Military Administration in the Mughal Empire. The responsibility of Mir Baksh was to gather intelligence and make recommendations regarding military appointments and promotions.
What is the difference between jagirdar and Zamindar?,"In the Mughal Empire, Jagirdars were holders of land assignments in lieu of assigned duties towards the empire such as police, judiciary etc,  while Zamindars, being holders of revenue rights, also had to render military duties and provide soldiers for the royal army, while also giving gifts to the royal court.The Jagirdar system was introduced by the Delhi Sultanate and continued during the Mughal Empire. In the Mughal times, the jagirdar collected taxes which paid his salary and the rest to the Mughal treasury.During the Mughal Empire, zamindars belonged to the nobility and formed the ruling class. Emperor Akbar granted them mansabs and their ancestral domains were treated as jagirs. Under British colonial rule in India, the permanent settlement consolidated what came to be known as the zamindari system."
Who was the founder of Saluva and Tuluva dynasty?,Saluva Narasimha was the first king of the Saluva dynasty ruling from 1486–1491. Tuluva Narasa Nayaka was the founder of the Tuluva dynasty. He was the father of the legendary ruler Krishnadevaraya.
Who introduced the Jagirdari system?,The Jagirdari system was introduced by the Delhi Sultanate in the 13th century. It would later be adopted by the Mughal Empire and the British East India Company.
What is called a Jagir?,A Jagir was a feudal land grant introduced in the 13th century under the rule of the Delhi Sultanate.
What is the meaning of Mansabdars?,"Mansabdars were military commanders, high civil and military officers, and provincial governors. The system was introduced during the reign of Mughal Emperor Akbar."
How did Mahmud Ghazni die?,"Mahmud Ghazni died at the age of 58 in April 1030, when he contracted malaria on one of his campaigns. Further complications led to him being affected by lethal tuberculosis."
How many times Ghazni attacked India?,Mahmud Ghazni attacked India 17 times between the years 1000 to 1027 AD. The objective of his campaigns was to amass wealth through plunder.
What were the consequences of Mahmud Ghazni's invasion?,Muhammad Ghori carried out about 7 invasions of India with the first invasion taking place in 1175 AD at Multan.
Why did Muhammad Ghori invade India?,Muhammad Ghori invaded India in order to acquire wealth and to spread Isalm in the region.
Who killed Muhammad Ghori?,"Muhammad Ghori was killed by assassins on his way back to Ghazni, following the conclusion of his campaigns in India. He was killed on March 15, 1205. The identity of his assassins remains unknown. Some sources attribute the assassination to Khokar Jats while others believe the Nizari Ismaili Assassins were behind it.Indian folklore states that Prithviraj Chauhan was the one who killed Muhammad Ghori but it is not collaborated with other contemperorary sources of the time and also the fact that Prithviraj Chauhan died years before Muhammad Ghori makes it highly unlikely."
Who fought the Battle of Kannauj?,The battle of Kannauj was fought between Sher Shah Suri and Mughal Emperor Humayun on 17 May 1540. It ended in a decisive victory for Sher Shah Suri.
When was the first battle of Panipat fought and between whom?,The first battle of Panipat was fought between the invading Mughals and the Lodi Sultanate of Delhi on 21st April 1526.
Who was the last ruler of the Sangama dynasty?,Virupaksha Raya II was the last ruler of the Sangama Dynasty of Vijayanagara. It was under his reign when several territories of the Vijayanagara Empire were lost in the Doab region.
Who destroyed Hampi?,Hampi was destroyed by a coalition of the Deccan Sultanates following the Vijayanagara Empire’s defeat at the battle of Talikota in 1565.
What is the other name of Hampi?,"Hampi is also known as Pampa Kshetra, Kishkindha kshetra and even Bhaskara kshetra. These names were derived from the famous Tungabhadra River Pampa."
Why was there a struggle between the Palas Pratiharas and the Rashtrakutas?,"The struggle between the Palas, Pratiharas and the Rashtrakutas broke out due to the desire of the three powers to possess the strategically important city of Kannauj."
Who defeated the Pandyas?,The Pandyas were by the Pallava king Nandivarman III with assistance from the Gangas and the rising Cholas.
What language did the Pallavas speak?,"In the Pallava kingdom, the common languages were Tamil, Prakrit and Sanskrit. The Pallavas also developed a script (the Pallava Script) based on Tamil-Brahmi."
Why did the Chola empire fall?,"The Chola Empire fell due to the rise of the Pandya Dynasty. The Pandya’s steadily took over Chola territories until in 1279 the last Chola emperor Rajendra III, was defeated in battle by Kulasekhara Pandiyan. The Chola Empire ceased to exist as a result."
Who was considered as the most powerful Chola ruler?,The most powerful ruler of the Chola Empire is Rajaraja l. He is remembered for reinstating the Chola power and ensuring its supremacy in south India and Indian Ocean.
Why did Mahmud Ghazni invade India?,Mahmud Ghazni invaded India with the objective of acquiring wealth and to spread Islam in the region.
Who were the Chalukyas and the Pallavas?,"The Chalukyas and the Pallavas were major kingdoms that ruled much of South India. The Pallavas had established their capital at Kanchipuram in the Kaveri Delta, while the Chalukyas had their capital at the Raichur Doab located between the Krishna and Tungabhadra rivers."
Who was the son of Gopala?,"The son of Gopala is alluded to be Dharmapala, who took over the Pala throne following the death of Gopala in 770 AD."
Who was Dharma Pal?,"Dharma Pal, also spelt as Dharmapala, was the second ruler of the Pala Empire. His rule is known for greatly expanding the Pala Empire, making it a dominant power in northern and eastern India."
Who succeeded the Maurya Dynasty?,The Maurya Dynasty was succeeded by the Sunga Dynasty. It was established by Pushyamitra Sunga in 185 BC.
What race were the Scythians?,The Scythians were believed to be of Iranian origin. They spoke a language of the Scythian branch of the Iranian languages. The group of Scythians that made its way to India were known as the Indo-Scythians or Shakas.
Which era is used in India?,"The Salivāhana or the Saka Era is used in India. It is on this basis that India’s National Calendar, adopted in 1952, has its foundation."
Who won the battle of Vatapi?,"The Battle of Vatapi, fought in the year 642 AD, was a decisive battle between the Chalukya Empire and the Pallava Kingdom. It ended in a Pallava victory leading to the conquest of Vatapi."
Who is the famous King of Pallavas?,"The famous king of the Pallavas is Mahendravarman I. Reigning from 600 – 630 AD, some of the most ornate monuments in the Pallava Kingdom were made."
Who was the most famous Chalukya king?,Pulakeshin II is the most famous of the Chalukya Kings. It was under his reign that the Chalukya kingdom expanded to include most of the Deccan region and by extension the entirety of peninsular India.
Why did the Pallavas fight the Chalukyas?,"The Pallavas fought the Chalukyas due to control of territorial resources, prestige and for asserting overall superiority over the region."
Who is the founder of Pallavas of Kanchi?,"Simha Vishnu is said to be the founder of the Pallavas of Kanchi. A successful conqueror and administrator, he established his capital at Kanchi, also known as Kanchipuram."
Who was the last Pallava ruler?,"The last Pallava Ruler was Aparajitavarman. He was killed in battle with the Chola King, Aditya I in 897 CE."
What was the symbol of the Pallavas?,The symbol of the Pallavas was the Lion (Simha) and the Bull (Nandi). It was interchangeable depending on the preference of the ruler. The color of their flags were yellow or saffron.
Why did Buddhism decline in India?,"The decline of the Gupta Empire led to the end of state patronage to Buddhism,Buddhism in India was a monastic movement. As such it lost support of its lay supporters.,Corruption of the Buddhist monastic order contributed to its decline in India as the monasteries became wealthy enough to not adhere to the core teachings of the Buddha."
Who defeated the Pallavas?,"The Pallavas were defeated by the Chola King, Aditya I in 897 CE. This event ended Pallava supremacy and began the ascent of the Cholas."
How did the Satavahana Dynasty become weak?,The Satavahana Dynasty became weak as a result of Sakha incursions into their territories. The additional factor was the fragmentation of their empire into smaller states.
Who built the Seven Pagodas?,"The Seven Pagodas refer to the monuments built at Mamallapuram built during the reign of the Pallava kings Narasimhavarman I, Paramesvarman and Narasimhavarman II."
Which is the first dynasty of Kannada?,The Kadamba Dynasty was the first Kannada dynasty that ruled northern Karnataka following the demise of the Satavahana dynasty. The first ruler of the Kadamba Dynasty Mayuravarma.
What was Kanchi important for?,Kanchi was an important religious centre and also being a home of the famous 6th century CE poet Bharavi who wrote the Kiratarjuniya and the famous 11th to 12th century CE Hindu philosopher Ramanuja.
Which dynasty was known as Dakshinapatha?,The Satavahanas were known as the lords of Dakshinapatha. The term Dakshinapatha literally means ‘route leading to the south’.
Which was the first gold coin to appear in India?,The first gold coin to appear in India was the Roman Denarii as a result of the Indo-Roman trade. At that time only silver and copper coins were in circulation although gold jewellery were around.
What are the 5 names of India?,"The five names of India are as follows:Bharat,Aryavarta,Hindustan,Tenjiku,Jambudweep."
Who were the Cholas and where did they rule?,The Cholas were a Tamil Dynasty that ruled much of Southern India during the 10th and 13th centuries. They were located in the fertile valley of the Kaveri River.
Who is the first Chola king?,Vijayalaya Chola is regarded as the first Chola King and founder of the imperial Chola dynasty.
Why are Cholas called Imperial Cholas?,The Cholas are called imperial Cholas because they managed to establish an empire of their own with the capital based at Tanjore. Their empire would comprise most of south India giving birth to one of the prominent dynasties of India.
Who was Nagabhata I?,"Nagabhata I was the founder of the imperial dynasty of Gurjara Pratiharas. He ruled the Avanti (or Malava) region in present-day Madhya Pradesh, from his capital at Ujjain."
Why did a tripartite struggle occur between the Palas Pratiharas and Rashtrakutas?,"The tripartite struggle broke out between the Palas, Prathiharas and Rashtrakuas for the control of Kannauj, which was strategically located in the fertile Ganga-river valley."
Who was Devagupta?,Devagupta was the king of Malwa. He is known for the alliance formed with Shahsahanka in order to counteract the growing power of Harsha’s empire.
Who was the founder of Gurjara Pratiharas?,The Gurjara Pratiharas dynasty was founded by Nagabhatta I in the 8th century C.E. The dynasty was established in the modern-day Malwa region.
Where was Gurjara Pratihara located?,"The kingdom of the Gurjara Pratihara spanned modern-day Mandor, Marwar of the Rajasthan state."
Who was the most famous Gurjara Pratihara?,The most famous of the Gurjara Pratihara is believed to be King Bhoja. He is mentioned extensively in the Gwalior inscription.
What led to the decline of Gurjara Pratiharas?,The Gurjara Pratiharas declined due to dynastic strife. The final blow came in the form of a raid by Indra III of the Rashtrakutas that devastated the Gurjara Pratihara capital of Kannauj.
What happened in North India after Harsha?,"Harshavardhana’s empire began to disintegrate after his death with most of the provinces becoming independent.Some even fought with each other to expand their territories, leading to a period of instability in North India for some time."
Why did Kanauj become so important between the 7th and 12th centuries?,Kanauj’s strategic location in the Gangetic plains made it viable for commercial activities and thus valuable possession. In addition it was also the erstwhile capital of Harshvardhana’s empire. Thus anyone controlling Kanauj could claim political legitimacy over all of North India.
Who was the most powerful ruler of Gurjara Pratiharas?,Nagabhata II became the most powerful ruler of the Gurjara Pratiharas following the weakening of the Rashtrakutas. He would go on to establish a new capital at Kannauj itself.
Why can Ashoka's history be described as written in stone?,Ashoka’s history can be described as written in stone due to the fact that he left behind extensive historical records of his rule through his rock edicts.
What was the Tripartite Struggle?,"The Tripartite Struggle was a three-way struggle between the Pratihara Empire,the Pala Empire and the Rashtrakuta Empire. The Tripartite struggle was for the control of Northern India in the 9th century. Ultimately the Pratiharas emerged victorious."
What were the main features of the Harsha administration?,"He reduced the burden of taxation on the general populace,King Harsha reduced the expenditure of the state administration,The empire of King Harsha was divided into provinces and further into districts,Administration of justice was severe during the period of Harsha."
Why is thirukkural called the universal Veda?,"Thirukkural is regarded as the universal Veda because it has no relation with any caste, religion, language and worship method, thus making it applicable to people from all walks of life."
What are the three parts of kural literature?,"Aram (virtue) – It deals with moral values of an individual and essentials of yoga philosophy,Porul (wealth) – It deals with socio-economic values, polity, society and administration,Inbam (love) – It deals with deals with psychological values and love.,The aim is to attain veedu (ultimate salvation) through these principles and is in alignment with the four foundations of Hinduism, namely, dharma, artha, kama and moksha."
Is Thirukkural a poem?,"Although Thirukkural consists of 1,330 short couplets, it is considered a gnomic poem, perhaps the greatest of its kind in scope of execution and conception. Gnomic poems are short, memorable statements of traditional wisdom and morality.Considered one of the greatest works ever written on ethics and morality, it is known for its universality and secular nature. Its author is traditionally alluded to be Valluvar, also known in full as Thiruvalluvar."
Who printed thirukkural first?,Vedagiri Mudaliar is credited with printing the Thirukkal with commentaries in 1850. Its revised version was printed in 1853.
What is the Tolkappiyam and the Thirukkural?,Tolkappiyam is an ancient extant Tamil grammar text considered to be the oldest surviving work of Tamil literature.While the Thirukkal is a text in the Tamil language that consists of short couplets of seven words each. These couplets are called Kurals.
Who were the Vellalas during the Sangam Age?,The Vellalas were an elite class of agricultural landlords who formed the aristocracy of the ancient Tamil order during the Sangam age.
Why did Ashoka attack Kalinga?,"Ashoka attacked Kalinga in order to further expand the Mauryan empire. Kalinga also had valuable ports which served as a gateway to trade with the far east. Above all, his grandfather Chandragupta Maurya had tried and failed to conquer Kalinga years before, so Ashoka wanted to succeed where his grandfather had failed."
Which year did Ashoka become king?,"Ashoka ascended the Mauryan throne in the year 268 BC. He was the third Mauryan Emperor succeeding his father, Bindusara."
What is written in Ashoka Pillar?,"The Ashoka Pillar consists of inscription and edicts issued through his rule. They are as follows Ahsoka’s 7 Pillar edicts:Pillar Edict 1: It describes Ashoka’s principle of being a protector to his people.Pillar Edict 2: Lays down the definition of Dhamma as the minimum of sins, many virtues, liberality purity and truthfulness.Pillar Edict 3: Eradicates sins of harshness, cruelty, anger, pride, etc.Pillar Edict 4: Lists the duties of Rajukas.Pillar Edict 5: Contains a detailed list of animals and birds which should not be killed on some days and another list of animals which are not to be killed at all.Pillar Edict 6: Dhamma policy,Pillar Edict 7: Works done by Asoka regarding the formation of the Dhamma policy."
How did edicts of Ashoka help unify India?,"The Edicts of Ashoka helped in spreading the message of harmony, virtue and peace which encouraged the various cultures and religions of the Mauryan Empire to live together without any conflict. This helped in speeding up the first unification of India."
Did Ashoka conquer Kalinga after a bitter battle?,Emperor Ashoka conquered Kalinga following a devastating war that led to untold losses in terms of life and property. The carnage was so much that he gave up war itself and set about governing his empire through the policy of non-violence.
Why is Ashoka called great?,"The rule of Ashoka is widely known through the rock edicts that he left behind, which in itself allowed his vision to reach the people in all corners of the vast Mauryan Empire. He is called great because of his model rule based on peace and compassion that helped in unifying the culturally diverse empire under a centralised administration."
What is the concept of Dhamma?,Dhamma is a central belief in Buddhism which means ‘to uphold’. It basically means that Dhamma ‘holds up’ the religion and the natural order of the universe. The main principles of Dhamma are based on the teachings and actions of the Buddha.
What was the purpose of Ashoka's Dhamma?,The main purpose of Ashoka’s Dhamma was to enable the myriad cultures and religions of the Mauryan Empire to live in harmony with each other.
How did Buddhism spread outside of India?,"Buddhism was spread outside India through the efforts of missionaries, scholars, trade, emigration, and communication networks. Foreign monks who travelled along the silk route between India and China were responsible for the spread of Buddhism at sub-elite levels."
What are the main beliefs of Buddhism?,"The main beliefs of Buddhism which form its core is based on the following teachings of the Buddha:The Three Universal Truths,The Four Noble Truths,The Noble Eightfold Path."
What is the ultimate goal of the Buddhist path?,The ultimate goal of the Buddhist is release from the round of phenomenal existence with its inherent suffering.
What is the highest goal of Buddhism?,Achieving Nirvana is the highest goal of Buddhism. Nirvana is the state of existence where one is free from the cycle of rebirth as well as being free from desire and suffering.
What does Buddhism say about karma?,"In Buddhism, Karma refers to action, with intent, that leads to future consequences. Those actions are regarded as a determinant factor in the cycle of rebirth."
How do Mahayana Buddhist worship?,Mahayana Buddhist worship consists of devotion to Buddha and to Bodhisattvas. Worshipers will listen to monks chanting from religious texts and take part in prayers. They also sit barefoot while facing the image of Buddha and chant prayers.
What happens upon achieving nirvana?,"Upon achieving Nirvana, Buddhists believe that rebirth is no longer possible. The Buddha taught that when Nirvana is achieved, Buddhists are able to see the world as it is."
How many edicts did Ashoka create?,"About 14 major edicts were created by Ashoka, which are far more detailed and descriptive than any other edicts created."
What are the beliefs of Jainism?,"Jainism believes in reincarnation and that the cycle of birth, rebirth and death is determined by one’s karma. Jains believe bad karma is caused by harming living things. To avoid bad karma, Jains must practice ahimsa, a strict code of nonviolence."
Who was the last king of the Maurya dynasty?,"The last king of the Maurya Dynasty was Brihadratha. He was killed in 185 BC by his general Pushyamitra Sunga, who would establish the Sunga Dynasty."
What is regarded as God in Jainism?,"All souls who have achieved the natural state of infinite bliss, infinite knowledge (kevala jnana), infinite power and infinite perception are regarded as God in Jainism."
How did emperor Ashoka pass away?,"As per various historical sources such as the Ashokavadana, emperor Ashoka fell severely ill and passed away around 232 BCE."
What is the Sacred Book of Jainism?,The Sacred Books of Jainism are collectively known as Agams or Agam Sutras. It consists of the teachings of Lord Mahavir’s teachings that were methodically compiled by his disciples.
What makes Ashoka a good sovereign?,Emperor Ashoka managed the rule over a vast and diverse empire by enacting policies that gave priority to peace and tolerance. He established a centralized administration system that oversaw the implementation of many public worlds and social welfare programs that enhanced the lives of the people of the Mauryan Empire.
What happens to the soul after death in Jainism?,"In Jainism, the soul (referred to as Jiva) is reborn into a different body to live another life until liberation."
Does Jainism believe in karma?,"Jainism believes that Karma is a physical substance that is everywhere in the universe. In short, Karma is the basic principle within an overarching psycho-cosmology in Jainism."
How is Jainism unique?,"Jainism is unique in the sense that non-violence is its main core. Jains believe that even non-living things have life including stones, sands, trees etc. and thus less harm must come to the environment around them."
How does Buddhism view death?,Buddhism believes that death is a natural part of the life cycle. Buddhists believe that death simply leads to rebirth.
What is the purpose of life according to Jainism?,"According to Jainism, the purpose of life is to realize the free and blissful state of our true being. The central theme of Jainism considers religion as a science of ethical practice."
What are the basic principles of Jainism?,"The three guiding principles of Jainism, the ‘three jewels’, are right belief, right knowledge and right conduct."
Who destroyed the Gupta dynasty?,"As per several historians, the Gupta dynasty and by extension the empire itself, disintegrated due to attacks from the Hunas (Huns) under Toramana and his successor Mihirakula. Although their power was diminished, the Guptas still continued to resist the Hunnic invasions."
Who defeated the Maurya dynasty?,"Following Ashoka’s death, a series of weak kings ruled the Mauryan Empire for 50 years that led to the erosion of the central authority of the Mauryas. Eventually the dynasty was deposed in 185 BC when Pushyamitra Sunga led a successful coup leading to the formation of the Sunga Dynasty."
Which two ways were the Mauryan and Gupta dynasties similar?,"Significant scientific discoveries were made during the time of both the dynasties,Both the Mauryan and Gupta empire geographically covered most of the Indian subcontinent."
Who was the greatest king of the Gupta dynasty?,The greatest king of the Gupta dynasty is believed to be Samudragupta because the Gupta Empire reached its greatest extent under his rule.
Who ruled after Gupta dynasty?,"Following the decline of the Gupta Empire, the imperial Guptas were succeeded by the Later Gupta dynasty. There is no evidence that connects the two families, so it is indicated the later Guptas were a distinct dynasty who adopted the Gupta name to pass off as legitimate successors of the imperial dynasty.The Later Gupta dynasty in turn was succeeded by the Varman Dynasty of Kannauj."
Who ruled after Ashoka?,Ashoka was succeeded by his grandson Dasharatha Maurya who ruled from from 232 to 224 BCE.
Who was the first king of Kamrup?,The earliest recorded king of kamarupa was named Mahiranga Danava. He is regarded by some to have been the first king of Kamrup.
What was the main reason for the tripartite struggle?,"The main reason for the tripartite struggle between Palas, the Gurjara-Pratiharas and the Rashtrakutas was the desire to possess the city of Kanauj as it was the symbol of sovereignty over the Ganges plain."
How did the Gupta Empire become powerful?,"The Gupta Empire became powerful as a result of warfare, alliances, and trade. It’s prosperity helped usher India into a golden age that saw advancements in technology and science."
Who is the famous ruler of Pratiharas?,The famous ruler of the Pratiharas was Mihir Bhoja. The dynasty rose to prominence in his reign.
Who is the famous King of Rashtrakuta dynasty?,"Amoghavarsha I was the famous king of the Rashtrakuta dynasty. He is credited with writing the Kavirajamarga, a landmark literary work in the Kannada language."
Who is the father of Sangam literature?,The Ancient Tamil Siddhar Agastaya is traditionally believed to have chaired the first Tamil Sangam in Madurai. As such he is regarded as the father of Sangam literature.
Why is the Sangam Age so called?,The Sangam Age is so called because it refers to the gatherings of poets and bards where the bulk of Tamil literature was written. The word ‘Sangam’ is the Tamil form of the Sanskrit ‘Sangha’ which means an association.
Why is Tamil literature known as Sangam literature?,Tamil literature is known as Sangam literature because they were composed and compiled in associations called Sangams.
Which is the oldest Tamil literature?,Tholkappiyam is the oldest Tamil literature. It was composed 2000 years ago. As per Tamil language experts Tholkappiyam dates to before 350BC.
What are the themes of Tolkappiyam?,"he Tolkappiyam contains two genres found in classical Tamil Literature:Akam (Love, interior world),Puram (War, society, exterior world)."
Who composed Thirukkural?,"The composition of Thirukkural is attributed to the poet Tiruvalluvar, who is thought to have lived in India in the 6th century."
When was Sangam literature compiled?,"Sangam literature is believed to be compiled between 400 BC and 300 BC, although most of the work is believed to have been composed in from 100 CE to 250 CE."
Who was the greatest emperor of the Vardhan dynasty?,The greatest emperor of the Vardhan dynasty was Harsha who ruled from from 606 to 647 CE.
What is Kannauj triangle?,"Kannauj Triangle is name given to tripartite struggle between three kingdoms i.e. Rashtrakutas of Deccan, Gurjar Pratiharas of Malwa and Palas of Bengal region."
What was the outcome of the tripartite struggle?,The end of the tripartite struggle saw the Pratiharas emerge victorious and establish themselves as the rulers of central India.
What according to Ashoka are a King's duties?,"As per Ashoka, the King’s main duty is to rule efficiently and look after his people the way a parent would look after their children."
Why was Kannauj a prized area?,Kannauj was a prized area because it was strategically located at the Ganga trade route and by extension the Silk Route further to the north. Its commercial viability made it a prized possession.
What effect did Emperor Ashoka have on Buddhism?,"Ashoka patronised Buddhism by building a number of stupas, Sangharama, viharas, chaitya, and residences for Buddhist monks all over South Asia. He even sent Buddhist missionaries all over South and Southeast Asian to propagate the message of Buddhism."
Who was the first king of Assam?,The first king of Assam is believed to be Sukaphaa (1228–1268) who came to Assam from Mong Mao in 1228.
Who was the first Chinese Traveller to India?,"Faxien, also spelt as Fa-Hien, was the first Chinese traveller to visit India in the early fifth century. The purpose of his visit was to look for texts sacred to Buddhism."
Who took the title of Maharajadhiraj?,Chandragupta I of the Gupta Empire came to be known as the Maharajadhiraj due to the powerful alliances he made in the Ganges region.
Who authored Harshacharita?,"Bhanabatta, also known as Bana, authored the Harshacharita which gave details about king Harsha’s life and his court."
Who was the most powerful ruler of the Gupta dynasty?,The most powerful ruler of the Gupta dynasty was Samudragupta due to his various conquests in the Indian subcontinent. His military achievements earned him the moniker “The Indian Napoleon.
What is Ashoka known for?,"Ashoka is known for renunciation of war, promotion of Buddhism as well as his effective reign of a nearly pan-Indian political entity."
Who was the last king of the Varman Dynasty?,"Bhaskaravarman, the last of the Varman dynasty. He was one of the well-known kings of medieval Kamarupa."
Who started the Mlechchha dynasty?,Salasthamba established the Mlechchha dynasty in Assam. Taking advantage of the declining power of the Varman dynasty.
What was the capital of the Rashtrakutas?,"The capital of the Rashtrakutas was Manyakheta, modern Malkhaid. The city was founded in the 9th century by the Rashtrakuta ruler Amoghavarsha I."
Who was the ruler of Janapada?,The Janapadas were the highest political unit in Northern India during ancient times. Some were republican in nature while most were monarchical. The heads of these monarchical kingdoms were called (rajan) or king.
Who was the first noble king of the Haryanka dynasty?,"Bimbisara is considered as the founder of the Haryanka dynasty. According to the Buddhist text, the Mahavamsa, Bimbisara was appointed king by his father, Bhattiya, at the age of fifteen."
Who conquered the Avanti kingdom?,"Shishunaga conquered the Avanti kingdom by defeating Nandivardhana or Avantivardhana, the last king of Pradyota dynasty."
Who ruled after Yashovarman?,Ama succeeded Yashovarman to the throne of Kanauj. He ruled Kannauj and surrounding areas during the 8th and the 9th centuries.
Who started the Mlechchha dynasty?,Salasthamba established the Mlechchha dynasty in Assam. Taking advantage of the declining power of the Varman dynasty.
Who was the last king of the Varman Dynasty?,"Bhaskaravarman, the last of the Varman dynasty. He was one of the well-known kings of medieval Kamarupa."
Who wrote Harshavardhana's biography?,"Banabhatta, also known as Bana, who was a Sanskrit writer of the seventh-century, wrote the biography of Harshavardhana known as the Harshacharita."
What were the effects of tripartite struggle?,"The tripartite struggle weakened the dynasties involved and led to the political destabilisation of northern India, leaving it vulnerable to Arab invasions."
Who defeated the Gupta dynasty?,"The Gupta dynasty was defeated by the invading White Huns, otherwise known as the Hephthalites. Although the dynasty was not completely destroyed, the White Huns caused considerable damage to the empire, leading to its decline."
Who sent Hiuen Tsang to Harsha?,"Tai Tsung, also known as Emperor Taizong of Tang, sent Hiuen Tsang to king Harsha’s court."
Who was the last king of Magadha defeated by?,"The last king of Magadha, Dhanananda, was defeated by Chandragupta Maurya. He would go on to establish the Mauryan Dynasty."
Who was the father of Bimbisara?,"The father of Bimbisara was Bhattiya, also known as Bhati. He belonged to the Haryanka dynasty."
Who was Bimbisara's son?,The son of Bimbisara was Ajatashatru. Ajatashatru was a contemporary of both Mahavira and Gautama Buddha.
Who defeated Magadha?,Magadha was conquered by Chandragupta Maurya in 231 BC. This would lead to the foundation of the Mauryan Empire.
Which was the first capital of Magadha?,"The core of the Magadha kingdom was located in the area of modern day Bihar, south of the Ganges. Its first capital was Rajagriha, modern day Rajgir."
Which dynasty ruled Magadha before Bimbisara?,"Before Bimbisara of the Haryanka dynasty ruled Magadha, the kingdom was ruled by the Pradyota dynasty & Barhadratha dynasty."
Which was the first major empire in Indian history?,The First Major Empire in Indian History was the Mauryan Empire. It lasted from about 321 to 185 BCE. It covered most of the Indian subcontinent.
Who was the first noble king of the Haryanka dynasty?,"Bimbisara is considered as the founder of the Haryanka dynasty. According to the Buddhist text, the Mahavamsa, Bimbisara was appointed king by his father, Bhattiya, at the age of fifteen."
Who conquered the Avanti kingdom?,"Shishunaga conquered the Avanti kingdom by defeating Nandivardhana or Avantivardhana, the last king of Pradyota dynasty."
Who ruled after Yashovarman?,Ama succeeded Yashovarman to the throne of Kanauj. He ruled Kannauj and surrounding areas during the 8th and the 9th centuries.
Who was the ruler of Janapada?,The Janapadas were the highest political unit in Northern India during ancient times. Some were republican in nature while most were monarchical. The heads of these monarchical kingdoms were called (rajan) or king.
Who is the founder of the Vardhana dynasty?,"Although no concrete evidence is available regarding the Vardhana dynasty, the 7th century poet Bana names Pushyabhuti as the dynasty’s founder."
How did Janapadas become powerful?,"The Janapadas became powerful due to the advancement in iron technology. The iron tech gave them a decisive edge over all their rivals in the surrounding region, enabling them to become a dominant power in the subcontinent."
What is meant by Mahajanapada?,The Mahajanapadas were sixteen kingdoms or oligarchic republics that existed in ancient northern India from the sixth to fourth centuries BCE.
Who defeated the Magadha kingdom?,"Chandragupta Maurya defeated and conquered the Magadha kingdom, following which he founded the Mauryan Dynasty in 231 BC."
Who was the last Magadha ruler?,The last ruler of Magadha was Dhanananda of the Nanda Dynasty. He was deposed by Chandragupta Maurya who would establish the Mauryan Dynasty.
What made Magadha the most powerful Mahajanapada?,Magadha became powerful because of its strategic location. The Ganga river flowing through it made the region fertile and improved transport. Its outlying forest areas also enabled it to capture and train elephants for its armies.
How did the Haryanka dynasty end?,"The Haryanka dynasty overthrew their Amatya (minister), Shishunaga. Shishunaga would found a dynasty named after him."
Who defeated the Shishunaga dynasty?,The Shishunaga dynasty was defeated by Mahapadma Nanda. He was the founder of the Nanda dynasty as per the Puranas.
Who came after the Nanda dynasty?,The Nanda Dynasty was succeeded by the Mauryan Dynasty following the overthrow of the last Nanda Ruler by Chandragupta Maurya.
Who ruled Magadha after the Nanda Dynasty?,The Mauryan Dynasty ruled Magadha following the end of the Nanda Dynasty.
When did the Nanda Dynasty end?,The Nanda Dynasty ended in 321 BC with the demise of the last Nanda ruler. The Mauryan Dynasty succeeded the Nanda Dynasty as a result.
